date,status,country
None,Date not confirmed,Italian Republic
None,Date not confirmed,Republic of Kazakhstan
None,Date not confirmed,Libya
None,Date not confirmed,Republic of Iceland
"June 8, 2023",Date not confirmed,Hellenic Republic
"May 21, 2022",Date not confirmed,Commonwealth of Australia
"May 21, 2022",Date not confirmed,Commonwealth of Australia
"Dec. 31, 2021",Postponed,Federal Democratic Republic of Ethiopia
"Sept. 23, 2021",Confirmed,Isle of Man
"Sept. 5, 2021",Postponed,Hong Kong Special Administrative Region
"Aug. 31, 2021",Postponed,Federal Republic of Somalia
"April 30, 2021",Date not confirmed,Republic of Chad
"Dec. 31, 2020",Date not confirmed,United Republic of Tanzania
"Dec. 31, 2020",Date not confirmed,Romania
"Dec. 31, 2020",Date not confirmed,Republic of Trinidad and Tobago
"Dec. 31, 2020",Confirmed,Romania
"Dec. 31, 2020",Confirmed,Italian Republic
"Dec. 31, 2020",Date not confirmed,Saint Vincent and the Grenadines
"Dec. 31, 2020",Date not confirmed,Democratic Socialist Republic of Sri Lanka
"Dec. 31, 2020",Date not confirmed,State of Kuwait
"Dec. 31, 2020",Date not confirmed,Bolivarian Republic of Venezuela
"Dec. 31, 2020",Confirmed,Republic of Liberia
"Dec. 31, 2020",Date not confirmed,Arab Republic of Egypt
"Dec. 31, 2020",Date not confirmed,Republic of the Sudan
"Dec. 31, 2020",Date not confirmed,Turks and Caicos Islands
"Dec. 31, 2020",Date not confirmed,United Republic of Tanzania
"Dec. 27, 2020",Confirmed,Central African Republic
"Dec. 27, 2020",Confirmed,Central African Republic
"Dec. 13, 2020",Postponed,Republic of Chad
"Dec. 7, 2020",Date not confirmed,Republic of Ghana
"Dec. 7, 2020",Date not confirmed,Republic of Ghana
"Nov. 30, 2020",Date not confirmed,Belize
"Nov. 22, 2020",Confirmed,Burkina Faso
"Nov. 22, 2020",Confirmed,Burkina Faso
"Nov. 22, 2020",Confirmed,Burkina Faso
"Nov. 10, 2020",Confirmed,Hashemite Kingdom of Jordan
"Nov. 8, 2020",Confirmed,Union of Myanmar
"Nov. 8, 2020",Confirmed,Union of Myanmar
"Nov. 3, 2020",Confirmed,United States of America
"Nov. 3, 2020",Confirmed,Republic of Palau
"Nov. 3, 2020",Date not confirmed,Republic of Palau
"Nov. 3, 2020",Confirmed,Territory of Guam
"Nov. 3, 2020",Confirmed,United States of America
"Nov. 3, 2020",Confirmed,Commonwealth of Puerto Rico
"Nov. 3, 2020",Confirmed,Commonwealth of Puerto Rico
"Nov. 3, 2020",Confirmed,Commonwealth of Puerto Rico
"Nov. 3, 2020",Confirmed,United States of America
"Nov. 3, 2020",Confirmed,Republic of Palau
"Nov. 3, 2020",Confirmed,Territory of Guam
"Nov. 1, 2020",Date not confirmed,Republic of Moldova
"Oct. 31, 2020",Date not confirmed,Autonomous Community of Galicia
"Oct. 31, 2020",Date not confirmed,Republic of Côte d'Ivoire
"Oct. 31, 2020",Date not confirmed,Republic of Côte d'Ivoire
"Oct. 31, 2020",Date not confirmed,Basque Country
"Oct. 31, 2020",Confirmed,Georgia
"Oct. 25, 2020",Confirmed,Republic of Chile
"Oct. 22, 2020",Confirmed,Republic of Seychelles
"Oct. 18, 2020",Postponed,Plurinational State of Bolivia
"Oct. 18, 2020",Postponed,Plurinational State of Bolivia
"Oct. 18, 2020",Postponed,Plurinational State of Bolivia
"Oct. 18, 2020",Confirmed,Republic of Guinea
"Oct. 17, 2020",Confirmed,New Zealand
"Oct. 17, 2020",Postponed,New Zealand
"Oct. 11, 2020",Confirmed,Republic of Tajikistan
"Oct. 11, 2020",Postponed,Turkish Republic of Northern Cyprus (TRNC)
"Oct. 11, 2020",Date not confirmed,Republic of Lithuania
"Oct. 4, 2020",Confirmed,Territory of New Caledonia and Dependencies
"Oct. 4, 2020",Confirmed,Kyrgyz Republic
"Sept. 24, 2020",Confirmed,Falkland Islands (Malvinas)
"Sept. 11, 2020",Confirmed,Islamic Republic of Iran
"Sept. 8, 2020",Held,Arab Republic of Egypt
"Sept. 3, 2020",Held,Jamaica
"Aug. 30, 2020",Confirmed,Montenegro
"Aug. 11, 2020",Confirmed,Arab Republic of Egypt
"Aug. 10, 2020",Held,Republic of Trinidad and Tobago
"Aug. 9, 2020",Held,Republic of Belarus
"Aug. 5, 2020",Held,Democratic Socialist Republic of Sri Lanka
"July 19, 2020",Held,Syrian Arab Republic
"July 15, 2020",Held,Republic of North Macedonia
"July 12, 2020",Held,Republic of Poland
"July 10, 2020",Held,Republic of Singapore
"July 5, 2020",Held,Dominican Republic
"July 5, 2020",Held,Dominican Republic
"July 5, 2020",Held,Republic of Croatia
"July 5, 2020",Held,Dominican Republic
"July 1, 2020",Held,Russian Federation
"June 28, 2020",Held,Republic of Poland
"June 27, 2020",Confirmed,Republic of Iceland
"June 24, 2020",Confirmed,Mongolia
"June 23, 2020",Confirmed,Republic of Malawi
"June 21, 2020",Held,Republic of Serbia
"June 5, 2020",Confirmed,Federation of Saint Kitts and Nevis
"May 31, 2020",Confirmed,Niue
"May 25, 2020",Held,Republic of Suriname
"May 20, 2020",Held,Republic of Burundi
"May 20, 2020",Held,Republic of Burundi
"April 19, 2020",Second Round if needed,Republic of Mali
"April 15, 2020",Held,Republic of Korea
"April 14, 2020",Held,Republic of Kiribati
"April 5, 2020",Postponed,Republic of Armenia
"March 29, 2020",Confirmed,Republic of Mali
"March 22, 2020",Held,Republic of Guinea
"March 22, 2020",Held,Republic of Guinea
"March 19, 2020",Held,Republic of Vanuatu
