date,country,election,status
None,Italian Republic,Election for Camera dei Deputati (Italian Chamber of Deputies),Date not confirmed
"June 8, 2023",Hellenic Republic,Election for Vouli ton Ellinon (Greek Parliament),Date not confirmed
"Dec. 31, 2022",Republic of the Sudan,Election for President,Date not confirmed
"May 21, 2022",Commonwealth of Australia,Election for Australian House of Representatives,Date not confirmed
"May 21, 2022",Commonwealth of Australia,Election for Australian Senate,Date not confirmed
"Dec. 31, 2021",Republic of Côte d'Ivoire,Election for Assemblee Nationale (Ivoirian National Assembly),Postponed
"Dec. 24, 2021",Libya,Election for President,Confirmed
"Dec. 24, 2021",Libya,Election for Majlis Al Nuwab (Libyan Council of Deputies ),Confirmed
"Dec. 4, 2021",Republic of The Gambia,Election for President,Confirmed
"Nov. 30, 2021",Kingdom of Morocco,Election for Majlis al-Nuwab (Moroccan Chamber of Representatives),Date not confirmed
"Nov. 30, 2021",Republic of Honduras,Election for Congreso Nacional (Honduran National Congress),Date not confirmed
"Nov. 30, 2021",Republic of Honduras,Election for President,Date not confirmed
"Nov. 30, 2021",Kingdom of Tonga,Election for Fale Alea (Tongan Legislative Assembly),Date not confirmed
"Nov. 30, 2021",Republic of Bulgaria,Election for President,Date not confirmed
"Nov. 30, 2021",Falkland Islands (Malvinas),Election for Falkland Legislative Assembly,Date not confirmed
"Nov. 21, 2021",Republic of Chile,Election for President,Date not confirmed
"Nov. 21, 2021",Republic of Chile,Election for Senado (Chilean Senate),Date not confirmed
"Nov. 21, 2021",Republic of Chile,Election for Camara de Diputados (Chilean Chamber of Deputies),Date not confirmed
"Nov. 7, 2021",Republic of Nicaragua,Election for President,Confirmed
"Nov. 7, 2021",Republic of Nicaragua,Election for Asamblea Nacional (Nicaraguan National Assembly),Confirmed
"Oct. 31, 2021",Argentine Republic,Election for Cámara de Diputados (Argentinian Chamber of Deputies),Date not confirmed
"Oct. 31, 2021",Argentine Republic,Election for Senado (Argentinian Senate),Date not confirmed
"Oct. 24, 2021",Republic of Chad,Election for Assemblée Nationale (Chadian National Assembly),Postponed
"Oct. 24, 2021",Republic of Uzbekistan,Election for President,Date not confirmed
"Oct. 23, 2021",Republic of Iceland,Election for Althing (Icelandic Parliament),Date not confirmed
"Oct. 22, 2021",Japan,Election for Shugiin (Japanese House of Representatives),Date not confirmed
